Academic Period,Calendar Year,Gender,Student Type,Major Type,Full_Part Time,Ethnicity,Term,Major,Age_Group
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Vocational Nursing,50-59
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Engineering,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Aircraft Technician Airframe,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Liberal Arts,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,AMER INDIAN ALSKN,202420,Computer Science,18-24
Spring  2024,2024,Female,Transfer Student,Technical,Part-Time,MULTI-RACIAL,202420,Communication Design,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Kinesiology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,25-29
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Radiography Technologist,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Diagnostic Medical Sonography,18-24
Spring  2024,2024,Male,Transfer Student,Technical,Full-Time,HISPANIC,202420,Radiography Technologist,30-34
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Invasive Cardiovascular Tech,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Computer Engr Tech/Tech,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,WHITE,202420,Veterinary Technology,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Computer Programming,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Info Tech Cybersecurity,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,18-24
Spring  2024,2024,Male,FTIC Student,Technical,Part-Time,HISPANIC,202420,Radiography Technologist,18-24
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Diagnostic Medical Sonography,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Full-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Culinary Studies,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Culinary Arts,18-24
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Art,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Art,18-24
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,18-24
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,General Science,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Diagnostic Medical Sonography,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Health Professions Degree,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,AMER INDIAN ALSKN,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,40-49
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Automotive Technology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Computer Programming,25-29
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Business Administration,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,HISPANIC,202420,Comm: Advertising/PR,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Respiratory Care Technology,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Early Childhood Studies,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Diagnostic Medical Sonography,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Diagnostic Medical Sonography,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Respiratory Care Technology,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,ASIAN,202420,Health Information Technology,18-24
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Indust Proc Associate,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,MULTI AFR AMER,202420,Autom Industr Proc Electr/Mech,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,25-29
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,BLACK AFR AMER,202420,Kinesiology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,25-29
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit Home-Schooled,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,WHITE,202420,Hospitality Mgmt Fundamentals,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Drama,18-24
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,Under 18
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Sociology,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Kinesiology,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Liberal Arts,18-24
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Physical Therapist Assistant,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,ASIAN,202420,Radiography Technologist,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,HISPANIC,202420,Biology,35-39
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Business Management,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Health Information Technology,35-39
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Accounting Technician,50-59
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,7-12 & Other EC-12,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Comm: Advertising/PR,18-24
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,WHITE,202420,Business Administration,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,50-59
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Information System,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Male,Transfer Student,Technical,Part-Time,WHITE,202420,Aircraft Technician Powerplant,35-39
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Engineering,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,"TX Teacher EC-6, 4-8, EC-12",25-29
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,ASIAN,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Air Conditioning & Heating,30-34
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,ASIAN,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,ASIAN,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Invasive Cardiovascular Tech,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Network & Computer Info System,18-24
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Info Tech Cybersecurity,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,WHITE,202420,Network and Cloud Architecture,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Bookkeeping Specialist,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,ASIAN,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Psychology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Health Information Technology,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,7-12 & Other EC-12,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Nurs:Career Mobility-LVN - RN,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,35-39
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Nurs:Career Mobility-LVN - RN,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Pharmacy,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,WHITE,202420,"Adv Manufacturing Tech, (AMT)",40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI-RACIAL,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,WHITE,202420,Health Professions Degree,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,50-59
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Kinesiology,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,HISPANIC,202420,Computer Science,30-34
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,HISPANIC,202420,"TX Teacher EC-6, 4-8, & EC-12",18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,NATIVE HAW PACISL,202420,Culinary Arts,18-24
Spring  2024,2024,Male,FTIC Student,Technical,Full-Time,HISPANIC,202420,Automotive Technology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,7-12 & Other EC-12,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,English,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Art,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Art,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Environmental Science,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Psychology,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Kinesiology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Administrative Systems,35-39
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,MULTI AFR AMER,202420,Accounting Technology,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Accounting Technology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Environmental Science,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Culinary Arts,Under 18
Spring  2024,2024,Female,Transfer Student,Technical,Part-Time,MULTI-RACIAL,202420,Cyber Defense,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Psychology,18-24
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Sociology,40-49
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Histologic Technician,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,30-34
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Baking and Pastry Arts,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Collision/Refinishing Tech,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Full-Time,HISPANIC,202420,Mechanical Engineering,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,WHITE,202420,English,18-24
Spring  2024,2024,Female,Transfer Student,Technical,Part-Time,HISPANIC,202420,Respiratory Care Technology,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Art,50-59
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,35-39
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Automotive Technology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Human Serv-Addiction Counsel,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,General Science,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Health Professions Degree,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Chemistry,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,40-49
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Invasive Cardiovascular Tech,40-49
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Diagnostic Medical Sonography,25-29
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Electrical Trades,18-24
Spring  2024,2024,Male,Transfer Student,Technical,Part-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Engineering,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Info Tech Network Admin,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,WHITE,202420,Cyber Defense,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Business Management & Tech,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI-RACIAL,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,MULTI-RACIAL,202420,Mathematics,30-34
